Trace,Managers,Agents,"get-request","get-next-request","get-bulk-request","set-request","trap","trap2","inform","response","report"
Traffic Trace 1,1,291,12404,3259,809,4,1328,7390,2,46170,21
Traffic Trace 2,1,279,12415,1699,438,2,1174,9707,3,52243,55
Traffic Trace 3,0,281,8544,3353,186,0,1295,9718,72,28261,72
Traffic Trace 4,5,263,8337,3919,587,7,1997,8070,87,5749,95
Traffic Trace 5,7,272,6307,3676,613,3,1944,8451,84,56816,10
Traffic Trace 6,4,288,5103,2123,57,2,1178,8585,92,42397,79
Traffic Trace 7,4,284,6245,825,680,8,1964,9327,67,38974,21
Traffic Trace 8,0,278,12581,1666,500,3,1167,8341,42,32413,21
Traffic Trace 9,7,250,4727,3684,181,8,1825,9666,58,15777,57
Traffic Trace 10,10,268,4520,2909,319,0,1361,9907,24,24753,53
Traffic Trace 11,0,288,1362,1828,913,5,1797,8360,68,30462,46
Traffic Trace 12,10,271,9945,3099,241,5,1324,8514,9,16877,86
Traffic Trace 13,3,299,3515,1821,330,1,1619,9228,68,41243,49
Traffic Trace 14,7,253,6620,1106,864,9,1855,8115,31,48191,79
Traffic Trace 15,10,277,1428,2173,871,5,1577,7455,39,55636,12
Traffic Trace 16,6,265,7317,3034,924,2,1398,8833,68,5915,68
Traffic Trace 17,0,263,8587,3785,127,10,1250,9791,70,12041,48
Traffic Trace 18,8,284,5848,1439,255,5,1664,7548,62,14340,49
Traffic Trace 19,0,299,6758,1424,361,0,1947,8379,70,1814,73
Traffic Trace 20,2,299,13019,1045,218,8,1859,8258,26,35489,9
Traffic Trace 21,6,293,5948,880,524,5,1728,9288,2,47880,73
Traffic Trace 22,4,253,2210,2101,8,6,1157,7116,28,23996,0
Traffic Trace 23,1,278,4166,3737,414,7,1189,7016,75,47992,87
Traffic Trace 24,1,296,6445,2716,637,1,1657,8303,88,5521,50
Traffic Trace 25,10,278,8072,2283,707,5,1787,7321,55,55385,66
Traffic Trace 26,8,293,2075,1981,36,0,1166,9510,95,15819,75
Traffic Trace 27,3,295,6343,2208,554,8,1365,8938,31,19701,19
